City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Portland,45.5234,-122.6762,80.20,45,57,0.89,US,1628459791
Hobart,-42.8794,147.3294,45.10,89,40,0.45,AU,1628459698
Camacha,33.0833,-16.3333,67.53,73,40,3.6,PT,1628459792
Vidim,56.4088,103.1106,50.31,70,37,1.44,RU,1628459792
Port Alfred,-33.5906,26.891,60.08,83,61,6.26,ZA,1628459693
Hue,16.4667,107.6,87.91,58,20,1.54,VN,1628459793
Seydi,39.4816,62.9137,82.54,17,0,5.72,TM,1628459793
Yatou,37.15,122.3833,72.34,83,75,1.95,CN,1628459794
Athabasca,54.7169,-113.2854,64.22,55,95,4.77,CA,1628459794
Sola,-13.8833,167.55,76.03,86,100,10.38,VU,1628459795
Sobolevo,54.4299,31.8996,60.24,77,65,1.54,RU,1628459795
Atuona,-9.8,-139.0333,77.76,79,24,9.39,PF,1628459702
Pacific Grove,36.6177,-121.9166,93.02,77,35,1.34,US,1628459796
Paamiut,61.994,-49.6678,43.32,88,100,2.92,GL,1628459796
Altamira,-3.2033,-52.2064,87.89,62,20,0.0,BR,1628459516
Mayo,38.8876,-76.5119,92.39,67,1,2.68,US,1628459796
Rājnagar,24.8833,79.9167,78.96,90,100,2.57,IN,1628459797
Severomuysk,56.1481,113.4267,47.88,95,100,1.48,RU,1628459797
Biak,-0.9131,122.8766,73.98,89,95,2.82,ID,1628459798
Salalah,17.0151,54.0924,76.53,89,89,2.52,OM,1628459798
Tiksi,71.6872,128.8694,49.44,75,46,1.97,RU,1628459798
Taltal,-25.4,-70.4833,58.53,67,43,2.19,CL,1628459798
Aklavik,68.2191,-135.0107,54.32,43,6,1.89,CA,1628459799
Thompson,55.7435,-97.8558,69.96,78,75,3.6,CA,1628459707
Katsuura,35.1333,140.3,84.31,85,83,10.93,JP,1628459699
Lompoc,34.6391,-120.4579,88.79,74,90,2.68,US,1628459972
Saint-Philippe,-21.3585,55.7679,67.55,84,27,3.76,RE,1628459722
Villazón,-22.0866,-65.5942,55.80,11,5,2.35,BO,1628459800
Goderich,43.7501,-81.7165,80.91,73,100,5.66,CA,1628459800
Yellowknife,62.456,-114.3525,55.92,47,75,2.57,CA,1628459719
Baghdad,33.3406,44.4009,87.71,22,0,1.03,IQ,1628459510
Vostok,46.4856,135.8833,53.42,88,100,2.1,RU,1628459801
Wajima,37.4,136.9,82.94,83,100,6.55,JP,1628459801
Carutapera,-1.195,-46.02,75.67,91,6,2.52,BR,1628459801
Kloulklubed,7.0419,134.2556,77.50,74,100,5.0,PW,1628459802
Rome,43.2128,-75.4557,86.50,72,1,1.54,US,1628459510
Priboj,44.6028,18.9314,71.98,43,26,2.69,BA,1628459526
Punta Arenas,-53.15,-70.9167,41.11,75,90,7.72,CL,1628459455
Sangar,63.9242,127.4739,62.37,46,4,4.48,RU,1628459803
College,64.8569,-147.8028,64.58,79,90,2.57,US,1628459803
Atar,20.5169,-13.0499,96.26,27,7,1.82,MR,1628459804
Yerbogachën,61.2767,108.0108,50.95,62,3,0.76,RU,1628459804
Kavieng,-2.5744,150.7967,82.31,75,99,4.7,PG,1628459805
Hervey Bay,-25.2986,152.8535,62.04,78,83,4.58,AU,1628459766
Asău,46.4333,26.4,63.52,68,2,1.43,RO,1628459805
Laas,46.6166,10.7002,57.36,92,28,0.85,IT,1628459805
Tasiilaq,65.6145,-37.6368,42.26,94,100,8.98,GL,1628459720
Verāval,20.9,70.3667,81.05,78,99,3.48,IN,1628459806
Qianjiang,30.4151,112.8859,76.53,97,99,2.32,CN,1628459806
Hailar,49.2,119.7,61.86,93,100,3.97,CN,1628459807
Dicabisagan,17.0818,122.4157,77.52,82,100,1.36,PH,1628459807
Severo-Kuril'sk,50.6789,156.125,55.27,89,50,5.4,RU,1628459807
Buin,-33.7333,-70.75,55.72,81,100,0.71,CL,1628459808
Albany,42.6001,-73.9662,86.67,56,20,2.84,US,1628459298
Sadon,42.8518,44.0037,60.35,61,54,2.74,RU,1628459808
Alghero,40.5589,8.3181,73.49,78,20,1.03,IT,1628459809
Namatanai,-3.6667,152.4333,80.65,78,67,2.98,PG,1628459809
Ambon City,-3.6954,128.1814,75.34,100,40,2.06,ID,1628459809
Evensk,61.95,159.2333,60.91,49,34,4.67,RU,1628459810
Bumba,2.1833,22.4667,70.90,93,79,0.88,CD,1628459810
Kormilovka,55.0026,74.1028,64.15,98,93,2.8,RU,1628459811
Takoradze,4.8845,-1.7554,75.90,88,75,4.03,GH,1628459811
Fort-Shevchenko,44.5086,50.263,93.15,28,92,4.27,KZ,1628459812
Bahār,34.9072,48.4414,71.73,36,25,1.24,IR,1628459812
Alenquer,-1.9417,-54.7383,88.14,55,97,1.95,BR,1628459813
Esperance,-33.8667,121.9,60.64,76,1,9.55,AU,1628459813
Yumen,40.2833,97.2,68.79,22,0,3.26,CN,1628459813
Savannah Bight,16.45,-85.85,89.65,79,99,10.63,HN,1628459814
Oltu,40.5498,42.0013,63.77,88,20,0.74,TR,1628459814
Caravelas,-17.7125,-39.2481,68.81,80,1,2.95,BR,1628459814
Gravdal,68.1214,13.5031,59.85,70,99,6.17,NO,1628459815
Nome,64.5011,-165.4064,57.16,82,100,6.09,US,1628459588
Qaanaaq,77.484,-69.3632,40.44,72,20,1.36,GL,1628459698
Butaritari,3.0707,172.7902,83.64,62,56,5.07,KI,1628459707
São Filipe,14.8961,-24.4956,79.03,85,32,1.92,CV,1628459815
Dingle,10.9995,122.6711,76.14,91,100,1.05,PH,1628459816
Port Blair,11.6667,92.75,81.95,83,100,4.81,IN,1628459816
Khatanga,71.9667,102.5,52.43,72,100,4.84,RU,1628459718
Kumul,42.8,93.45,82.78,16,100,2.64,CN,1628459817
Poum,-20.2333,164.0167,69.67,62,66,9.22,NC,1628459817
Klaksvík,62.2266,-6.589,49.12,94,95,2.73,FO,1628459817
Flinders,-34.5833,150.8552,50.18,86,99,2.79,AU,1628459817
Pathein,16.7833,94.7333,78.98,93,100,2.4,MM,1628459818
Bluff,-46.6,168.3333,37.80,69,94,5.99,NZ,1628459687
Tarancón,40.0085,-3.0073,76.50,84,0,8.02,ES,1628459818
Saldanha,-33.0117,17.9442,55.45,89,100,7.14,ZA,1628459818
Pisco,-13.7,-76.2167,64.45,72,75,8.75,PE,1628459819
Vao,-22.6667,167.4833,67.78,56,40,7.11,NC,1628459819
Ribeira Grande,38.5167,-28.7,72.82,87,72,7.28,PT,1628459713
Gazli,40.1333,63.45,84.87,20,0,5.29,UZ,1628459820
Bethel,41.3712,-73.414,81.48,74,92,2.08,US,1628459820
Los Llanos de Aridane,28.6585,-17.9182,69.55,97,90,3.6,ES,1628459821
Jinchang,38.4953,102.1739,70.41,26,25,0.77,CN,1628459821
New Norfolk,-42.7826,147.0587,44.74,84,28,1.27,AU,1628459694
Puerto Ayora,-0.7393,-90.3518,76.96,83,52,2.24,EC,1628459712
Bonavista,48.6499,-53.1147,57.20,78,82,8.11,CA,1628459822
Winder,33.9926,-83.7202,90.57,59,1,0.0,US,1628459822
Fayaoué,-20.65,166.5333,70.11,59,46,10.4,NC,1628459823
Dogondoutchi,13.6393,4.0287,87.24,56,99,5.26,NE,1628459823
Isangel,-19.55,169.2667,69.91,83,75,3.09,VU,1628459824
Maniwaki,46.3834,-75.966,77.54,73,100,1.54,CA,1628459824
Atlantis,-33.5667,18.4834,53.89,96,100,6.91,ZA,1628459824
Ostrovnoy,68.0531,39.5131,49.57,77,0,3.63,RU,1628459825
Ponta do Sol,32.6667,-17.1,71.01,75,27,1.52,PT,1628459689
Upata,8.0086,-62.3989,74.05,92,100,1.1,VE,1628459825
Souillac,-20.5167,57.5167,68.38,94,75,3.6,MU,1628459719
Torbay,47.6666,-52.7314,57.76,92,90,7.72,CA,1628459826
Mezen',65.8522,44.24,53.04,70,100,3.12,RU,1628459826
Atikokan,48.7555,-91.6216,84.47,43,67,3.04,CA,1628459826
Kenai,60.5544,-151.2583,54.09,94,90,9.26,US,1628459529
Euclid,41.5931,-81.5268,87.12,66,1,3.09,US,1628459697
Flin Flon,54.7682,-101.865,60.64,82,75,3.09,CA,1628459827
Olafsvik,64.8945,-23.7142,56.77,80,100,3.34,IS,1628459827
Shingū,33.7333,135.9833,82.90,91,96,10.35,JP,1628459828
Abnūb,27.2696,31.1511,91.62,21,0,4.43,EG,1628459828
Wakkanai,45.4094,141.6739,63.18,87,100,13.79,JP,1628459829
Chui,-33.6971,-53.4616,58.51,94,100,4.69,UY,1628459829
Richards Bay,-28.783,32.0377,67.69,54,0,6.25,ZA,1628459830
Vardø,70.3705,31.1107,53.80,79,6,2.82,NO,1628459830
Constitución,-35.3333,-72.4167,49.32,69,100,1.2,CL,1628459831
Dikson,73.5069,80.5464,42.96,94,0,2.59,RU,1628459723
Okha,53.5739,142.9478,56.41,68,12,1.18,RU,1628459831
Burnie,-41.0667,145.9167,47.91,91,62,1.83,AU,1628459832
Talnakh,69.4865,88.3972,58.64,62,1,1.69,RU,1628459832
Skellefteå,64.7507,20.9528,59.00,69,75,1.54,SE,1628459833
Acapulco de Juárez,16.8634,-99.8901,86.25,66,70,4.32,MX,1628459833
Padang,-0.9492,100.3543,77.05,87,83,1.6,ID,1628459834
Storforshei,66.4043,14.5233,60.66,93,99,2.27,NO,1628459834
Udachny,66.4167,112.4,55.08,82,27,1.26,RU,1628459835
Huancabamba,-5.2386,-79.4506,68.50,54,8,0.8,PE,1628459835
Kaduna,10.5222,7.4383,69.84,96,92,2.47,NG,1628459835
Touros,-5.1989,-35.4608,77.90,79,39,7.47,BR,1628459836
Bandarbeyla,9.4942,50.8122,76.17,84,63,12.65,SO,1628459836
Teguise,29.0605,-13.564,68.22,73,20,7.72,ES,1628459837
Sitka,57.0531,-135.33,61.32,76,100,3.55,US,1628459837
Butler,39.4501,-84.5666,90.99,54,1,2.24,US,1628459838
Petropavlovsk-Kamchatskiy,53.0452,158.6483,54.19,82,75,1.0,RU,1628459838
Pevek,69.7008,170.3133,37.78,80,18,5.03,RU,1628459838
Yokadouma,3.5167,15.05,68.05,99,44,0.37,CM,1628459839
Homer,59.6425,-151.5483,54.09,92,90,5.66,US,1628459650
High Level,58.5169,-117.136,55.51,76,90,1.54,CA,1628459839
Mandera,3.9366,41.867,77.68,57,78,9.36,KE,1628459840
Pakxan,18.3778,103.6601,76.12,96,99,0.78,LA,1628459840
Galle,6.0367,80.217,77.77,87,94,4.76,LK,1628459841
Cabo San Lucas,22.8909,-109.9124,93.81,67,100,1.68,MX,1628459704
Hasaki,35.7333,140.8333,82.80,83,54,8.93,JP,1628459841
Bitkine,11.9801,18.2138,73.92,85,99,1.48,TD,1628459841
Payo,-3.7508,103.6372,73.09,87,35,1.0,ID,1628459842
Port Elizabeth,-33.918,25.5701,56.10,82,93,3.98,ZA,1628459842
Maubin,16.7333,95.65,78.40,94,100,2.19,MM,1628459843
Allāpalli,19.4167,80.0667,78.37,86,74,1.19,IN,1628459843
Winslow,35.0242,-110.6974,95.97,13,2,1.34,US,1628459843
Beloha,-25.1667,45.05,61.27,90,0,2.56,MG,1628459844
Qandala,11.472,49.8728,90.32,49,69,1.35,SO,1628459986
Pangkalanbuun,-2.6833,111.6167,73.89,99,93,0.93,ID,1628459844
Tucuruí,-3.7661,-49.6725,84.96,44,39,1.3,BR,1628459845
Bubaque,11.2833,-15.8333,79.54,79,100,4.86,GW,1628459845
Kuytun,54.3419,101.5036,51.42,58,59,1.12,RU,1628459846
Kahului,20.8947,-156.47,85.96,60,16,3.87,US,1628459721
Kargasok,59.0556,80.8572,65.73,66,99,1.85,RU,1628459846
Chifeng,42.2683,118.9636,70.30,74,100,1.08,CN,1628459846
Kade,52.3833,12.2667,62.19,86,97,2.59,DE,1628459847
Kargopol',61.5071,38.9456,57.65,100,73,1.53,RU,1628459847
Port Hedland,-20.3167,118.5667,57.25,67,6,3.09,AU,1628459847
Quatre Cocos,-20.2078,57.7625,68.11,87,91,8.89,MU,1628459848
Saint Paul Harbor,57.79,-152.4072,57.60,67,74,1.87,US,1628459670
Nara,34.6851,135.8049,81.68,84,100,4.03,JP,1628459848
Najrān,17.4924,44.1277,88.45,23,63,1.8,SA,1628459849
Ōdachō-ōda,35.1833,132.5,77.77,93,100,6.81,JP,1628459849
Atambua,-9.1061,124.8925,67.41,86,11,1.79,ID,1628459849
Banda Aceh,5.5577,95.3222,79.45,84,84,3.82,ID,1628459850
Ancud,-41.8697,-73.8203,49.53,77,14,1.16,CL,1628459705
Coronado,32.6859,-117.1831,94.26,70,16,3.13,US,1628459850
Cortez,37.3489,-108.5859,91.42,10,0,5.8,US,1628459851
Shenjiamen,29.9576,122.298,77.94,81,53,1.26,CN,1628459851
Heraclea,37.5133,34.0467,67.87,62,60,1.92,TR,1628459851
Alofi,-19.0595,-169.9187,75.09,94,100,3.09,NU,1628459852
Moen,69.1304,18.6123,63.32,67,75,6.17,NO,1628459852
Tambopata,-12.7333,-69.1833,87.69,51,0,1.03,PE,1628459853
Progreso,21.2833,-89.6667,94.10,68,39,8.03,MX,1628459854
Caraballeda,10.6112,-66.8522,86.07,70,46,3.09,VE,1628459854
Norman Wells,65.282,-126.8329,55.44,58,75,5.66,CA,1628459697
Puerto Baquerizo Moreno,-0.9,-89.6,74.39,69,75,6.17,EC,1628459855
Imola,44.3523,11.7158,79.43,35,29,4.26,IT,1628459856
Shache,38.4167,77.2406,73.89,42,100,2.8,CN,1628459856
Grand Gaube,-20.0064,57.6608,68.40,89,83,1.79,MU,1628459857
Humaitá,-7.5061,-63.0208,90.79,31,65,0.66,BR,1628459857
Gamba,-2.65,10.0,71.60,86,53,2.39,GA,1628459857
Parkersburg,39.2667,-81.5615,90.07,74,50,1.79,US,1628459637
Riachão das Neves,-11.7461,-44.91,75.33,37,27,0.98,BR,1628459858
Port Augusta,-32.5,137.7667,42.94,67,0,3.03,AU,1628459858
Marsh Harbour,26.5412,-77.0636,83.80,70,20,4.03,BS,1628459859
Butembo,0.15,29.2833,56.21,95,19,1.03,CD,1628459859
Zeya,53.75,127.2667,53.47,77,57,1.31,RU,1628459859
Werda,-25.2667,23.2833,59.50,23,0,3.85,BW,1628459860
North Bend,43.4065,-124.2243,81.25,63,0,7.42,US,1628459860
Kokopo,-4.352,152.2633,78.76,78,82,1.75,PG,1628459860
Ust-Nera,64.5667,143.2,68.36,45,6,1.91,RU,1628459861
Aljezur,37.3191,-8.8033,61.83,85,0,6.27,PT,1628459861
Shīeli,44.1667,66.75,78.31,25,0,5.4,KZ,1628459861
Lālsot,26.5667,76.3333,81.27,81,80,1.29,IN,1628459862
Kambia,9.1167,-12.9167,74.98,91,100,2.01,SL,1628459862
Yulara,-25.2406,130.9889,37.24,52,0,2.57,AU,1628459863
Carnarvon,-24.8667,113.6333,59.07,85,75,2.06,AU,1628459709
Ahipara,-35.1667,173.1667,49.78,76,94,7.76,NZ,1628459710
Union,40.6334,-74.2663,82.74,70,90,3.6,US,1628459863
Rolla,37.9514,-91.7713,73.54,90,100,0.89,US,1628459864
Bay City,43.5945,-83.8889,86.49,71,1,4.12,US,1628459843
Hobyo,5.3505,48.5268,76.39,87,54,10.98,SO,1628459864
Meulaboh,4.1363,96.1285,76.53,92,95,2.94,ID,1628459864
Yangi Marg`ilon,40.4272,71.7189,77.72,33,0,4.12,UZ,1628459711
Lavrentiya,65.5833,-171.0,47.62,70,47,6.23,RU,1628459713
São Francisco do Sul,-26.2433,-48.6381,66.11,88,40,0.51,BR,1628459865
Amarpur,25.0333,86.9,82.53,81,48,1.51,IN,1628459865
Leh,34.1667,77.5833,60.49,54,19,2.39,IN,1628459866
Serowe,-22.3833,26.7167,58.28,45,0,1.55,BW,1628459866
Airai,-8.9266,125.4092,54.07,88,29,0.85,TL,1628459867
Westport,41.1415,-73.3579,82.62,88,93,3.8,US,1628459640
Avera,33.194,-82.5271,91.45,54,88,3.13,US,1628459867
Rypefjord,70.6333,23.6667,66.67,48,0,3.09,NO,1628459868
Venado Tuerto,-33.7456,-61.9688,42.76,91,100,6.97,AR,1628459868
Krasnovishersk,60.4078,57.082,49.30,96,81,2.02,RU,1628459869
Nizhniy Kuranakh,58.8353,125.4869,61.54,77,9,1.37,RU,1628459869
Neiafu,-18.65,-173.9833,77.68,78,75,2.57,TO,1628459869
Sena Madureira,-9.0656,-68.6569,90.01,33,2,0.71,BR,1628459870
Sept-Îles,50.2001,-66.3821,63.12,67,40,2.24,CA,1628459870
Provideniya,64.3833,-173.3,46.51,76,75,4.0,RU,1628459871
Harindānga,22.0383,88.3214,84.18,83,76,4.39,IN,1628459872
Coahuayana Viejo,18.7333,-103.6833,88.65,66,46,3.97,MX,1628459872
Codrington,-38.2667,141.9667,46.13,75,100,4.92,AU,1628459873
Yangambi,0.8102,24.4336,69.76,85,21,0.37,CD,1628459873
Garden City,42.3256,-83.331,89.19,61,83,0.45,US,1628459873
São Raimundo Nonato,-9.0153,-42.6994,76.77,37,2,2.2,BR,1628459874
Socorro,31.6546,-106.3033,100.31,21,20,1.54,US,1628459874
Puri,19.8,85.85,84.72,80,100,7.83,IN,1628459875
Pochutla,15.7432,-96.4661,85.82,72,88,3.41,MX,1628459720
Saint-Joseph,-21.3667,55.6167,66.56,80,13,2.01,RE,1628459875
Khovd,48.0056,91.6419,59.81,56,50,0.98,MN,1628459876
Kununurra,-15.7667,128.7333,57.18,77,0,2.57,AU,1628459876
Simões,-7.5989,-40.8178,75.83,27,3,3.93,BR,1628459876
Knysna,-34.0363,23.0471,59.38,65,100,2.3,ZA,1628459664
Abu Dhabi,24.4667,54.3667,95.11,84,0,4.63,AE,1628459877
Hambantota,6.1241,81.1185,79.14,94,1,4.12,LK,1628459877
Dunedin,-45.8742,170.5036,37.80,81,88,2.24,NZ,1628459878
Naze,28.3667,129.4833,77.92,86,8,4.61,JP,1628459878
Rebrikha,53.0733,82.3408,62.01,85,98,0.25,RU,1628459878
Mareeba,-17.0,145.4333,66.92,85,29,1.43,AU,1628459879
Challakere,14.3167,76.65,74.43,83,93,6.82,IN,1628459879
Sur,22.5667,59.5289,87.58,59,6,5.74,OM,1628459880
Mount Isa,-20.7333,139.5,46.17,53,0,1.03,AU,1628459880
Ostër,50.9506,30.8823,67.84,60,26,1.17,UA,1628459881
Rondonópolis,-16.4708,-54.6356,82.09,27,33,1.92,BR,1628459881
Bilma,18.6853,12.9164,95.67,27,35,2.39,NE,1628459882
Terney,45.0503,136.6092,62.31,78,100,5.3,RU,1628459882
San Cristobal,7.7669,-72.225,77.18,94,96,1.03,VE,1628459882
Lékoni,-1.5843,14.2591,79.07,55,57,3.58,GA,1628459883
Saint George,37.1041,-113.5841,104.47,12,1,4.92,US,1628459461
Coyhaique,-45.5752,-72.0662,47.01,65,20,4.12,CL,1628459883
Baoding,38.8511,115.4903,70.30,92,24,1.86,CN,1628459884
Gore,-46.1028,168.9436,37.22,94,91,2.33,NZ,1628459884
East London,-33.0153,27.9116,64.71,62,46,7.21,ZA,1628459474
Mehamn,71.0357,27.8492,59.61,64,7,3.95,NO,1628459885
Arraial do Cabo,-22.9661,-42.0278,69.76,78,0,7.72,BR,1628459885
Sochi,43.6,39.7303,77.09,81,87,2.86,RU,1628459634
Guayaramerín,-10.8368,-65.3614,87.22,33,5,0.89,BO,1628459886
Kalmunai,7.4167,81.8167,78.62,84,97,0.84,LK,1628459886
Praia da Vitória,38.7333,-27.0667,71.85,94,75,8.07,PT,1628459887
Havelock,34.8791,-76.9013,85.98,80,2,2.24,US,1628459887
Shostka,51.863,33.4698,63.43,82,2,3.51,UA,1628459887
Tahe,52.3333,124.7333,52.12,99,100,1.96,CN,1628459888
Lagos,6.5833,3.75,77.32,93,98,2.75,NG,1628459654
Makkah al Mukarramah,21.4267,39.8261,91.53,32,68,1.76,SA,1628459888
Batticaloa,7.7102,81.6924,78.49,82,100,1.51,LK,1628459889
Pa Daet,19.5049,99.9924,78.82,92,100,1.21,TH,1628459889
Kunming,25.0389,102.7183,66.13,88,40,2.0,CN,1628459889
North Branch,45.5113,-92.9802,79.14,80,100,3.39,US,1628459890
Two Rivers,44.1539,-87.5693,82.26,88,94,0.89,US,1628459829
Kolondiéba,11.0882,-6.8926,72.93,94,93,1.11,ML,1628459890
Kaeo,-35.1,173.7833,47.32,88,71,5.02,NZ,1628459890
Lüderitz,-26.6481,15.1594,55.27,85,89,3.13,NA,1628459891
Esqueda,30.7167,-109.5833,91.80,33,24,2.74,MX,1628459891
Chumikan,54.7183,135.315,52.54,76,100,2.49,RU,1628459892
Zabul Province,32.25,67.25,70.90,16,30,1.25,AF,1628459892
Derzhavīnsk,51.1,66.3167,62.46,69,73,5.2,KZ,1628459892
Narsaq,60.9167,-46.05,46.76,67,9,4.18,GL,1628459893
Smithers,54.7804,-127.1743,70.12,52,20,2.57,CA,1628459661
Ifakara,-8.1333,36.6833,68.40,58,0,1.47,TZ,1628459893
Princeton,25.5384,-80.4089,92.01,70,75,2.68,US,1628459894
Tuatapere,-46.1333,167.6833,37.81,89,99,2.77,NZ,1628459894
Weligama,5.9667,80.4167,77.00,89,95,4.52,LK,1628459894
Zhangye,38.9342,100.4517,67.84,39,0,2.52,CN,1628459895
Arman',59.7,150.1667,63.09,54,5,3.53,RU,1628459895
Abaeté,-19.16,-45.4458,65.46,49,43,2.47,BR,1628459895
Vegreville,53.5001,-112.0518,70.50,51,64,6.17,CA,1628459896
Hilo,19.7297,-155.09,82.26,84,24,1.34,US,1628459591
Balad,34.0164,44.1453,94.84,16,0,4.74,IQ,1628459896
Brandon,27.9378,-82.2859,93.61,73,90,3.13,US,1628459897
Concordia,-31.393,-58.0209,70.11,64,98,0.84,AR,1628459813
Pāsighāt,28.0667,95.3333,78.22,99,100,1.01,IN,1628459897
Buala,-8.145,159.5921,81.52,74,38,1.7,SB,1628459898
Waipawa,-41.4122,175.5153,43.43,63,97,10.28,NZ,1628459898
Bela Vista do Paraíso,-22.9967,-51.1906,76.24,38,1,1.88,BR,1628459899
Uthal,25.8072,66.6219,80.24,78,70,2.93,PK,1628459899
Te Anau,-45.4167,167.7167,34.97,91,80,0.43,NZ,1628459900
Ullapool,57.8987,-5.1604,56.35,87,29,1.36,GB,1628459900
Thisted,56.9552,8.6949,61.09,3,93,5.76,DK,1628459900
Nizhnevartovsk,60.9344,76.5531,62.62,100,90,2.0,RU,1628459901
Adrar,20.5022,-10.0711,89.62,16,10,4.8,MR,1628459901
Makakilo City,21.3469,-158.0858,81.28,72,11,6.52,US,1628459902
Bahía Honda,22.9036,-83.1592,84.07,77,44,2.69,CU,1628459902
Chapais,49.7834,-74.8492,71.38,35,94,2.94,CA,1628459902
Nelson Bay,-32.7167,152.15,55.99,88,100,4.87,AU,1628459903
Morant Bay,17.8815,-76.4093,85.66,70,7,4.81,JM,1628459903
Iqaluit,63.7506,-68.5145,44.33,87,90,3.6,CA,1628459711
